model,epoch,train_loss,val_loss,val_acc,epoch_time_s,early_stopped,total_time_min
EfficientNetV2-RW-S,1,3.7906,3.6073,0.0423,21.8,1,14.75
EfficientNetV2-RW-S,2,3.753,3.5919,0.0475,19.6,1,14.75
EfficientNetV2-RW-S,3,3.3883,2.7917,0.2528,19.3,1,14.75
EfficientNetV2-RW-S,4,2.6668,1.9868,0.516,20.2,1,14.75
EfficientNetV2-RW-S,5,2.0861,1.4494,0.678,19.9,1,14.75
EfficientNetV2-RW-S,6,1.7134,1.2114,0.7307,19.2,1,14.75
EfficientNetV2-RW-S,7,1.6469,1.1176,0.7523,19.3,1,14.75
EfficientNetV2-RW-S,8,1.4396,1.1034,0.775,19.5,1,14.75
EfficientNetV2-RW-S,9,1.2419,1.0333,0.7915,20,1,14.75
EfficientNetV2-RW-S,10,1.2519,0.9993,0.7957,20.4,1,14.75
EfficientNetV2-RW-S,11,1.1134,0.9828,0.7967,19.9,1,14.75
EfficientNetV2-RW-S,12,1.1962,0.9526,0.8215,19.2,1,14.75
EfficientNetV2-RW-S,13,1.0351,0.9357,0.8194,17.4,1,14.75
EfficientNetV2-RW-S,14,1.0743,0.9371,0.8184,18,1,14.75
EfficientNetV2-RW-S,15,1.1141,0.9291,0.8184,17.9,1,14.75
EfficientNetV2-RW-S,16,1.1502,0.9373,0.8256,19.6,1,14.75
EfficientNetV2-RW-S,17,1.1353,0.9513,0.8225,17.5,1,14.75
EfficientNetV2-RW-S,18,1.1148,0.9339,0.8266,19.9,1,14.75
EfficientNetV2-RW-S,19,1.0882,0.9257,0.8215,17.2,1,14.75
EfficientNetV2-RW-S,20,1.0538,0.9215,0.8277,19.9,1,14.75
EfficientNetV2-RW-S,21,1.0496,0.9051,0.8287,19.7,1,14.75
EfficientNetV2-RW-S,22,1.126,0.9588,0.8204,17.6,1,14.75
EfficientNetV2-RW-S,23,1.015,0.926,0.8349,19.6,1,14.75
EfficientNetV2-RW-S,24,0.8755,0.8951,0.8349,17.8,1,14.75
EfficientNetV2-RW-S,25,0.9451,0.9057,0.8359,20.3,1,14.75
EfficientNetV2-RW-S,26,0.9867,0.9034,0.8266,18.5,1,14.75
EfficientNetV2-RW-S,27,0.8917,0.8846,0.8256,18.7,1,14.75
EfficientNetV2-RW-S,28,1.1025,0.9171,0.8256,17.9,1,14.75
EfficientNetV2-RW-S,29,1.0672,0.893,0.8411,20.4,1,14.75
EfficientNetV2-RW-S,30,1.0361,0.8795,0.838,18,1,14.75
EfficientNetV2-RW-S,31,1.0228,0.8832,0.8308,17.6,1,14.75
EfficientNetV2-RW-S,32,1.055,0.8814,0.84,17.5,1,14.75
EfficientNetV2-RW-S,33,0.9747,0.8807,0.8411,17.9,1,14.75
EfficientNetV2-RW-S,34,1.0148,0.8733,0.839,18.1,1,14.75
EfficientNetV2-RW-S,35,0.939,0.8787,0.8442,19.8,1,14.75
EfficientNetV2-RW-S,36,0.9964,0.8651,0.8452,19.8,1,14.75
EfficientNetV2-RW-S,37,0.9314,0.8711,0.8369,17.6,1,14.75
EfficientNetV2-RW-S,38,0.9107,0.8597,0.8431,17.8,1,14.75
EfficientNetV2-RW-S,39,0.9505,0.8713,0.8411,18.3,1,14.75
EfficientNetV2-RW-S,40,0.9302,0.865,0.8483,21.1,1,14.75
EfficientNetV2-RW-S,41,0.9206,0.8648,0.8452,18,1,14.75
EfficientNetV2-RW-S,42,1.0137,0.88,0.8421,17.6,1,14.75
EfficientNetV2-RW-S,43,0.9577,0.8732,0.8411,17.9,1,14.75
EfficientNetV2-RW-S,44,1.0299,0.8689,0.8421,18.1,1,14.75
EfficientNetV2-RW-S,45,0.9767,0.8674,0.84,18,1,14.75
EfficientNetV2-RW-S,46,1.0066,0.8694,0.8431,17.5,1,14.75
EfficientNetV2-RW-S,47,0.9659,0.8617,0.8442,17.9,1,14.75
TinyViT 21M,1,3.2286,3.2396,0.0258,21.3,0,16.49
TinyViT 21M,2,3.2191,3.2325,0.0279,20.2,0,16.49
TinyViT 21M,3,3.0773,2.8233,0.3406,20.2,0,16.49
TinyViT 21M,4,2.6045,1.9924,0.5273,20.1,0,16.49
TinyViT 21M,5,2.1511,1.4527,0.678,20.6,0,16.49
TinyViT 21M,6,1.7951,1.1535,0.7637,20.3,0,16.49
TinyViT 21M,7,1.5979,1.0761,0.7534,18.8,0,16.49
TinyViT 21M,8,1.4482,0.9431,0.7998,20,0,16.49
TinyViT 21M,9,1.4765,0.918,0.8101,20.2,0,16.49
TinyViT 21M,10,1.4364,0.8936,0.8101,18.7,0,16.49
TinyViT 21M,11,1.2449,0.8733,0.8256,20.8,0,16.49
TinyViT 21M,12,1.2965,0.8722,0.8184,18.8,0,16.49
TinyViT 21M,13,1.2445,0.8481,0.8349,20.2,0,16.49
TinyViT 21M,14,1.1285,0.8385,0.838,20.8,0,16.49
TinyViT 21M,15,1.1915,0.8386,0.8431,20.5,0,16.49
TinyViT 21M,16,1.1897,0.8276,0.8473,20.4,0,16.49
TinyViT 21M,17,1.1116,0.8049,0.8638,20.3,0,16.49
TinyViT 21M,18,1.1272,0.8263,0.8473,18.9,0,16.49
TinyViT 21M,19,1.1384,0.8402,0.8369,18.5,0,16.49
TinyViT 21M,20,1.0412,0.7767,0.8658,20.2,0,16.49
TinyViT 21M,21,1.2033,0.7836,0.8669,20.1,0,16.49
TinyViT 21M,22,1.0679,0.7866,0.8586,19.6,0,16.49
TinyViT 21M,23,0.9626,0.7754,0.8679,20.5,0,16.49
TinyViT 21M,24,1.013,0.7621,0.8689,20.5,0,16.49
TinyViT 21M,25,1.0976,0.7797,0.8648,18.7,0,16.49
TinyViT 21M,26,0.9028,0.7839,0.8607,18.7,0,16.49
TinyViT 21M,27,1.0281,0.7834,0.87,20.2,0,16.49
TinyViT 21M,28,0.9436,0.7762,0.87,18.9,0,16.49
TinyViT 21M,29,1.0018,0.782,0.8627,18.8,0,16.49
